first_wak,second_wak,third_wak,fourth_wak,fifth_wak,sixth_wak,seventh_wak,eighth_wak
กชกรต่างแต่ตั้ง,ศิรษา,นบพุทธธรรมสาวกา,แผ่นเผ้า,สนำสลูเบิกนามมา,ขอมเรียก รักแฮ,ไทด่ำบลเมิงเป้า,ผ่านไว้วิวรณ์
อาสยุชมาสด้วย,สิบเอ็ด,เม็งแม่นภูโมเม็ด,เนตรบ้าง,จักสลายกาพย์กลอนเขบ็จ,สาโรช รักแฮ,ปางพิรามรสร้าง,จากเจ้าเจียนสลาย
ศุภสารเรียงร่ำถ้อย,คราวคราน,หริภุญชัยเชษฐ์สถาน,ธาตุตั้ง,สารพัดเขตขาพาล,พังด่ำ บลเทอญ,ยามม่อนมั่วรสยั้ง,จุ่งตั้งสดับสาร
สงสารทุกข์แต่งตั้ง,อื่นฉงน,นิราศสัตวชน,กล่าวได้,จักริร่ำยุบล,บำราศ นุชนี,เป็นคะโลงหื้อให้,โลกแจ้งใจคะนึง
ดวงเดียวดูยิ่งฟ้า,อัปศร,เป็นปิ่นกามาวจร,เจื่องเจ้า,บุญบาปแต่ปางก่อน,ทักทำ นายนี,แสนชาติยังยั้งเฝ้า,จึ่งล้วนลุคะนึง
ดวงเดียวอาสาศเสี้ยง,ภัทรกัป,ทั้งสี่สรรเพ็ชญ์ลับ,ล่วงแล้ว,อาไรยมีทันผับ,วรศาส นาแฮ,เจียนจุ่งละน้องแก้ว,ก่อนแล้วดุสิดา
ดวงเดียวดีซ่อนไว้,หว่างวรรค,เขาะขอดหทัยลักษณ์,หล่อน้อง,หทยังมียังฝัก,ฝังพี่ ทิพเอย,เห็นแห่งอวรโน้นข้อง,ขอดผี้พัทมาร
บุญญะมีมาสมื้อ,ผลคุณ,ขงเขตในนพบุร,โยกย้าย,เดินถวิลแห่งหริภุญ,ชัยเชษฐ์ ชิดแฮ,นบธาตุพระเจ้าผ้าย,แผ่นค้อมคุงชเล
ชลไพรผงแผ่นพื้น,บนบด,พายลุ่มปานจักรกรด,เขือกขว้ำ,พาชีดำเรียรถ,จรเชือก ชักแฮ,ขงน่านเรือร้อยล้ำ,ไขว่ขว้างขวางนที
นบวรเชษฐ์สร้อย,สิหิงค์,ลาเทพเบญจาจริง,จึ่งผ้าย,เชิญวานเทพดลถลิง,ถลากระหม่อม เรียมเฮย,เทาดำเนินเยื้อนย้าย,พร่ำพร้อมเดินเดียว
ลาถึงปราสาทสร้อย,สิงห์สอง,โอนต่ำลงทิพทอง,ที่อ้าง,เบญจาจำเนียรปอง,ปดต่ำ งนรา,จากจ่ำเลวแล้วร้าง,ราศนั้นฤาดี
ธรยูคีรีเกิดใกล้,ผาเกียร,สามสี่อาวาสเจียน,จิ่มไหว้,กุศลพี่ทำเพียร,พบราช เดียวเอย,มิใช่จงหวังได้,แต่พื้นรสดล
กุฏารามรวดด้าน,หลังเหลียว,ถวายกระพูมมือเทียว,หว่านไหว้,ทำบุญเพื่อผลเยียว,ผัสแม่ นาแม่,ถึงถาบอุปแปนได้,แต่ซ้ำปรารถนา
เห็นหอมังราชเจ้า,สูงศักดิ์,ยังบลืออารักษ์,ราชไหว้,อังเชิญช่วยพิทักษ์,เทียมพี่ คะนึงนา,ยามม่อนมัวเกลียดใกล้,ร่วมเร้าชัยบาน
อารักษ์อาราธน์เรื้อง,มังราย ราชแฮ,เชิญส่งศรีทิพนาย,หนี่งร้า,เทียนทุงพี่จักถวาย,เป็นส่วน บุญแฮ,จูงจ่องเมื้อเมืองฟ้า,เสพสร้างสุราลัย
มหาอาวาสสร้อย,สี่สถาน,ชินรูปองค์อุปปาน,เลิศหล้า,อมรกฎค่าควรปาน,บูรหนึ่ง,ถวายพระนามน้อมหน้า,เพื่อไท้นารีรมย์
อัษฎารสแรกสร้าง,สูงประทาน,เทียมแทบตนทรมาน,เมื่อเนิ้น,เหมือนพระวรโพธิญาณ,ยังโลก นี้นอ,ปดดำเนินนี้เทิ้น,เทื่อนี้มัสการ
สององค์อมเรศเอื้อม,อุตรา,ยักขราชถือขรรคา,ฝ่ายใต้,เรียมวานเทพวรา,รักษ์ราษฎร์ มวลแฮ,เสียงส่ำเพียงเกลี่ยใกล้,ช่วยค้ำชูเรียม
นบเชษฐ์แซงซ่างไซร้,ถลาถลิง รอดแฮ,บหุ่งเห็นทิพยิง,ยิ่งผ้าย,เททรวงกรรแสงสวิง,มัวราช นักเอย,เสน่ห์บาดอกซ้ำร้าย,ร่างแต้มถึงถวิล
ลลินลุแล้วเล่า,ศาลา เลิศแฮ,ครองคู่สายเสน่หา,แห่งหั้น,วรลักษณ์เลิศสวรรคา,เทพทิพ เรียมเอย,สามแผ่นผืนใดดั้น,พี่ด้นหาอวร
มรรคาทวารทอดตั้ง,อาราม หนึ่งแม่,เป็นปิ่นบูรีนาม,ฟ่อนสร้อย,ดวงเดียวหนึ่งนิศยาม,สนิทเชฐ์ ชิดแฮ,ปอมแปกนุชเนื้อน้อย,เลิศผู้ผิดองค์
จากเจียรช่อฟ้าลาศ,ลงดิน แด่ฤา,มุขมาศนาสายิน,ยิ่งแต้ม,ยามยลพี่จนถวิล,ถวายอำ รุงเอย,ไขโอฐดินฟ้าแย้ม,พี่แย้มยังทรง
จงไปปราสาทฉ้อ,อัษฎา,บุญจึ่งลักกุนา,รอดเรื้อง,เชียงส่งพี่ส่งหา,เยาวยอด ยิ่งแฮ,ซอมชอกตาทุกเบื้อง,บ่ได้ดลพงา
ลุถึงเชียงใหม่หม้า,ทวารทอง,เวียงวาสปราการสอง,เขื่อนขั้ง,เหราเฟือดฟัดฟอง,คือค่าย งามเอย,หอเลิศเลยต้ายตั้ง,ข่ามข้าศึกแสลง
มเหศักขสาดไท้,ทิพทวาร ท่านเอย,เชิญช่วยโปรดอันผ่าน,เจตชู้,บ่เห็นพี่รักคราน,ใจเช่น ชันนี้,เมือข่าวไขน้องรู้,ร่วมเบื้องยาถนอม
หวังเห็นชม่อยหน้า,บุญหนา,วานเทพสมสนองรา,รีบร้า,เททวนปั่นปองบา,อกบ่า บินแฮ,ปดต่ำงนไว้ข้า,ข่าวน้องนำสนอง
บุรีทวารต่อตั้ง,สมสถาน,นามชื่อศรีมหาทวาร,รวดเรื้อง,ทนทุกข์ทิวานาน,บ่น่อย ทวงเอย,ขวัญขาดยังข้อนเบื้อง,บาปห้อยเห็นอวร
