first_wak,second_wak,third_wak,fourth_wak,fifth_wak,sixth_wak,seventh_wak,eighth_wak
อัญขยมบรมนเรศเรื้อง,รามวงศ์,พระผ่านแผ่นไผททรง,สืบไท้,แสวงยิ่งสิ่งสดับองค์,โอวาท,หวังประชาชนให้,อ่านแจ้งคำโคลง ฯ
ครรโลงโลกนิตินี้,นมนาน,มีแต่โบราณกาล,เก่าพร้อง,เป็นสุภสิตสาร,สอนจิต,กลดั่งสร้อยสอดคล้อง,เวี่ยไว้ในกรรณ ฯ
ทศนัขนอบน้อมมิ่ง,อุตมางค์,ไตรรัตน์จัดเบญจางค์,แจ่มพร้อม,จักพร้องโลกนิติปาง,สดับแต่ เดิมพ่อ,อรรถอื่นอ้างเลศล้อม,ต่างต้องคัมภีร์ ฯ
ถวายกรกรรพุ่มเพี้ยง,บวรมาลย์มิ่งแฮ,ไตรรัตน์เรียบไตรทวาร,เวียดเกล้า,โลกนิติสืบสาร,ของเก่า,เตือนจิตสาธุชนเช้า,ค่ำค้ำชูใจ ฯ
โลกนิติในโลกล้วน,แก่นสาร,คือบิดามารดาอาจารย์,เจี่ยวแล้,เชาเจ้าจ่อมใจบาณ,ทิตร่ำ เรียนแฮ,เบิกศิลปปรีชาแท้,เลิศแล้วเมธี ฯ
ปลาร้าพันห่อด้วย,ใบคา,ใบก็เหม็นคาวปลา,คละคลุ้ง,คือคนหมู่ไปหา,คบเพื่อน พาลนา,ได้แต่ร้ายร้ายฟุ้ง,เฟื่องให้เสียพงศ์ ฯ
ใบพ้อพันห่อหุ้ม,กฤษณา,หอมระรวยรสพา,เพริศด้วย,คือคนเสพเสน่หา,นักปราชญ์,ความสุขซาบฤาม้วย,ดุจไม้กลิ่นหอม ฯ
ผลเดื่อเมื่อสุกไซร้,มีพรรณ,ภายนอกแดงดูฉัน,ชาดบ้าย,ภายในย่อมแมลงวัน,หนอนบ่อน,ดุจดังคนใจร้าย,นอกนั้นดูงาม ฯ
ขนุนสุกสล้างแห่ง,สาขา,ภายนอกเห็นหนามหนา,หนั่นแท้,ภายในย่อมรสา,เอมโอช,สาธุชนนั้นแล้,เลิศด้วยดวงใจ ฯ
ยางขาวขนเรียบร้อย,ดูดี,ภายนอกหมดใสสี,เปรียบฝ้าย,กินสัตว์เสพปลามี,ชีวิต,เฉกเช่นชนชาติร้าย,นอกนั้นนวลงาม ฯ
รูปแร้งดูร่างร้าย,รุงรัง,ภายนอกเพียงพึงชัง,ชั่วช้า,เสพสัตว์ที่มรณัง,นฤโทษ,ดังจิตสาธุชนกล้า,กลั่นสร้างทางผล ฯ
คนพาลผู้บาปแท้,ทุรจิต,ไปสู่หาบัณทิต,ค่ำเช้า,ฟังธรรมอยู่เนืองนิตย์,บ่ทราบ ใจนา,คือจวักตักเข้า,ห่อนรู้รสแกง ฯ
ผู้ใดใจฉลาดล้ำ,ปัญญา,ได้สดับปราชญ์เจรจา,อาจรู้,ยินคำบัดเดี๋ยวมา,ซับซาบ ใจนา,คือมลิ้นคนผู้,ทราบรู้รสแกง ฯ
หมูเห็นสีหราชท้า,ชวนรบ,กูสี่ตีนกูพบ,ท่านไซร้,อย่ากลัวท่านอย่าหลบ,หลีกจาก กูนา,ท่านสี่ตีนอย่าได้,วากเว้วางหนี ฯ
สีหราชร้องว่าโอ้,พาลหมู,ทรชาติครั้นเห็นกู,เกลียดใกล้,ฤๅมึงใคร่รบดนู,มึงนาศ เองนา,กูเกลียดมึงกูให้,พ่ายแพ้ภัยตัว ฯ
กบเกิดในสระใต้,บัวบาน,ฤาห่อนรู้รสมาลย์,หนึ่งน้อย,ภุมราอยู่ไกลสถาน,นับโยชน์ ก็ดี,บินโบกมาค้อยค้อย,เกลือกเคล้าเสาวคนธ์ ฯ
ใจชนใจชั่วช้า,โฉงเฉง,ใจจักสอนใจเอง,ไป่ได้,ใจปราชญ์ดัดตามเพลง,พลันง่าย,ดุจช่างปืนดัดไม้,แต่งให้ปืนตรง ฯ
ไม้ค้อมมีลูกน้อม,นวยงาม,คือสัปปุรุษสอนตาม,ง่ายแท้,ไม้ผุดั่งคนทราม,สอนยาก,ดัดก็หักแหลกแล้,ห่อนรื้อโดยตาม ฯ
เป็นคนควรรอบรู้,สมาคม,สองประการนิยม,กล่าวไว้,หนึ่งพาลหนึ่งอุดม,นักปราชญ์,สองสิ่งนี้จงให้,เลือกรู้สมาคม ฯ
คนใดไปเสพด้วย,คนพาล,จักทุกข์ทนเนานาน,เนิ่นแท้,ใครเสพท่วยทรงญาณ,เปรมปราชญ์,เสวยสุขล้ำเลิศแท้,เพราะได้สดับดี ฯ
ได้เห็นนักปราชญ์ไซร้,เป็นสุข,อยู่ร่วมเรือนหายทุกข์,ค่ำเช้า,ผู้พาลสั่งสอนปลุก,ใจดั่ง พาลนา,ยลเยี่ยงนกแขกเต้า,ตกต้องมือโจร ฯ
จงนับสัปบุรุษรู้,บุญกรรม์,จะละหลีกพาลอัน,ชั่วร้าย,จงสร้างสืบบุญธรรม์,ทุกเมื่อ,จงนึกนิตย์ชีพคล้าย,ดุจด้วยฟองชล ฯ
คบกากาโหดให้,เสียพงศ์,พาตระกูลเหมหงส์,แหลกด้วย,คบคนชั่วจักปลง,ความชอบ เสียนา,ตราบลูกหลานเหลนม้วย,ไม่ม้วยนินทา ฯ
มดแดงแมลงป่องไว้,พิษหาง,งูจะเข็บพิษวาง,แห่งเขี้ยว,ทรชนทั่วสรรพางค์,พิษอยู่,เพราะประพฤติมันเกี้ยว,เกี่ยงร้ายแกมดี ฯ
นาคีมีพิษเพี้ยง,สุริโย,เลื้อยบ่ทำเดโช,แช่มช้า,พิษน้อยหยิ่งโยโส,แมลงป่อง,ชูแต่หางเองอ้า,อวดอ้างฤทธี ฯ
ความรู้ผู้ปราชญ์นั้น,นักเรียน,ฝนทั่งเท่าเข็มเพียร,ผ่ายหน้า,คนเกียจเกลียดหน่ายเวียน,วนจิต,กลอุทกในตระกร้า,เปี่ยมล้นฤามี ฯ
