first_wak,second_wak,third_wak,fourth_wak,fifth_wak,sixth_wak,seventh_wak,eighth_wak
เดือนช่วงดวงเด่นฟ้า,ดาดาว,จรูญจรัดรัศมีพราว,พร่างพร้อย,ยามดึกนึกหนาวหนาว,เขนยแนบแอบเอย,เย็นฉ่ำน้ำค้างย้อย,เยือกฟ้าพาหนาว
มหานากฉวากวุ้ง,คุ้งคลอง,ชุ่มชื่นรื่นรุกขีสอง,ฝั่งน้ำ,คุกคิดมิศหมายครอง,สัจสวาดิขาดเอย,กล้าตกรกเรื้อซ้ำ,โศกทั้งหมางสมร
ขอฝากซากสวาดิสร้อย,สุรธร,ไว้ที่ท่าสาคร,เขดนี้,ศาลาน่าวัดภร,พี่ฝากมากเอย,ใครที่พี่เป็นผี้,พี่ให้อไภยเจริญ
จำร้างห่างน้องนึก,หน้าสวน,สองฝ่ายชายหญิงยวน,ยั่วเย้า,หวังชายฝ่ายหญิงชวน,ชื่นเช่นเหนเอย,กลเช่นเล่นซักเสร้า,เสพเผื้อนเฟือนเกษม
เลี้ยวลัดวัดษเกษก้ม,คมลา,กุฏศพนบมานดา,เกิดเกล้า,เดชะพระกุศลภา,พ้นโลกโอกฆเอย,เสวยศุก๐ทุกค่ำเช้า,ช่องชั้นสวรรยางค
เชิงเลนเปนตลาดสล้าง,หลักเรือ,โอ่งอ่างบ้างอิดเกลือ,เกลื่อนกลุ้ม,หลีกล่องช่องเล็กเหลือ,ลำบากยากแฮ,ออกแม่น้ำย่ำถุ้ม,ถี่ฆ้องสองยาม
แซ่เสียงเวียงราชก้อง,กังสดาน,เหง่งหงั่งระฆังขาน,แข่งฆ้อง,สังแตรแซ่เสียงประสาร,สังขีดดีดเอย,ยามดึกครึกครื้นก้อง,ปี่แก้วแจ้วเสียง
วัดเลียบเงียบสงัดหน้า,อาราม,ขุกคิดเคยพญายาม,แย่งน้อง,รวยรินกลิ่นสไบทราม,สวาดร่วงทรวงเอย,สูรกลิ่นสริ้นกลอนพร้อง,เพราะเจ้าเบาใจ
เจริญบุญสุรธรไว้,ให้สมร,สืบสวัสสัฐาภร,ผ่องแผ้ว,เชิญทราบกาพกลกลอน,กล่าวกลิ่นถวินเอย,จำฃาดชาตินี้แคล้ว,คลาดน้องของสงวน
วัดแจ้งแต่งตึกตั้ง,เตียงนอน,เคยปกนกน้อยคอน,คู่พร้อง,เคยลอบตอบสารสมร,สมารสมักรักเอย,จำจากพรากนุชน้อง,นกน้อยลอยลม
