first_wak,second_wak,third_wak,fourth_wak,fifth_wak,sixth_wak,seventh_wak,eighth_wak
กฤษฎางค์ชุลิตน้อม,นอบกร,ถวายทศนัขบวร,หว่างเกล้า,สามส่วนสถาพร,พิริยภาพ เพ็ญแฮ,ควรอนุสร์ค่ำเช้า,แช่มช้อยชื่นกระมล
นบจอมมกุฎเกล้า,โลกา จารย์เอย,สามภพพระคุณปรา,กฏล้ำ,กินนรนาคมนุษย์ทา,นพแทตย์,อากาศสัตว์สถลน้ำ,นอบเกล้าสรรเสริญ
นบธรรมแปดหมื่นทั้ง,สี่พัน,คือพระปริยัติธรร,โมทย์แท้,เสนาะโสตกล่อมใจสรร,พสัตว์เสพย์ สุขฮา,แจ่มกระจ่างจิตแก้,เคลือบเคลิ้มกังขา
คุณพระยิ่งแว่นแก้ว,เถกิงตรี โลกเฮย,สว่างยิ่งแสงสหัสสี,ส่องฟ้า,ขนสัตว์ค่ามโอฆีย์,คตฝั่ง เกษมแฮ,ตลบตลอดเลอหล้า,เลิศล้ำเหลือแสดง
นบอัษฎาริยแผ้ว,พูนเสถียร,ศราพกพุทธพงศ์เพียร,เพียบลํ้า,ดัดจิตผจงเจียร,จากราค ร้อนแฮ,ผดุงพุทธศาสน์ค้ำ,คัดขึ้นควรชม
สามรัตนยิ่งรัตน์โพ้น,พรรณนา,สามภพแผ้วอาภา,ผ่องพื้น,ควรสัตว์จักคัณหา,อนุสร์ แน่แฮ,พากย์ลึกยิ่งลึกตื้น,ยิ่งตื้นตามประสงค์
น้อมบาทอิศวเรศไท้,ธรณินทร์,ดิลกอโยธย์โบรินทร์,รุ่งเร้า,จรรโลงภพปรถพิน,สมภพ ยิ่งแฮ,ถวัลยราชร่มเกล้า,ราษฎร์ล้วนทวยผอง
เรืองพระเกียรดิรุ่งเร้า,ดินบน,พระยศพระจบสกล,เกริกพื้น,พระคุณพระแผ่ผล,เผยสุข เกษมแฮ,พระเดชพระเฟื่องฟื้น,ฟ่องฟุ้งฟูขจร
พระคุณพระยิ่งลํ้า,เลอสรรค์,ขจบขจรบรร,เจิดหล้า,ควรส่ำราษฎรสรร,เสริญเพิ่ม ยศแฮ,ขอพระชนม์พระคู่ฟ้า,ยศฟุ้งเฟื่องฉเมนท์
พระเดชพระปกป้อง,ปัดเข็ญ,ทุกประเทศสถิตเย็น,ค่ำเช้า,พระคุณพระใหญ่เป็น,ธิปัติโลก เฉลิมแฮ,แผ่สุขเสกเทริดเกล้า,ราษฎร์สิ้นแสนเกษม
มวลหมู่อมิตรม้วย,มอดมรณ์,ทั่วส่ำด้าวดัสกร,แก่นแกล้ว,สดับพระเดชเกรงสยอน,สยบพักตร์ พ่ายแฮ,น้อมหิรัญมาศแก้ว,เกศก้มกรถวาย
ควรเทพแปดทิศซ้อง,สรรเสริญ พระนา,อวยสวัสดิยศเพลิน,เพลิดลํ้า,ข้อยขอสิริเจริญ,จิรสุข เกษมแฮ,บำราศอริอย่ากลํ้า,เกลือกใกล้เกลื่อนเข็ญ
ชมพรทุกเทพท้าว,เทวา ทั่วเฮย,จัตุรคุณโอฬา,ริกไซร้,พำนักเกิดก่อกา,ยายิ่ง ใหญ่แฮ,ขอจุ่งอวยสวัสดิ์ให้,ผ่องพ้นภัยกษัย
ชัยชัยรัตนแผ้ว,เพ็ญพูน เพิ่มแฮ,เดชเดชขัตติยาดูร,ดับร้อน,คุณคุณยิ่งคุณปูน,ใดเปรียบ เสมอฤๅ,สุขยิ่งสุขเพิ่มซ้อน,สวัสดิ์พู้นพรรณนา
ร่ำเริ่มพจนพร้อง,พรขอ,ร่ำพระคุณฤๅพอ,ผ่อนบ้าง,ร่ำทั่วทุกเทพยอ,กรยก ไหว้แฮ,ร่ำโศกเริ่มเศร้าร้าง,เริศไร้รัญจวน
ร่ำปางจากถ้าวัด,รวกขนาน นามนา,พิลาปสลดจิตปานฺ,ป่วยปิ้ม,กำสรวลเสนาะสนั่นสาร,สั่งเสน่ห์ นางแฮ,ทรวงเจ็บเพียงศรจิ้ม,จ่อไส้เสียดสมอง
อกเอยอกจากเมื้อ,ใดกลับ เล่านา,ตั้งแต่จะเลยลับ,ล่วงแล้ว,โออกจะนานนับ,วันห่าง,สายเนตรสองเนตรแพร้ว,พรั่งน้ำตาคลอ
จำลาท่าอุทกโอ้,อาลัย ยิ่งนา,ท่าจะลับล่วงไกล,กลับช้า,สงสารเพื่อนเรือใน,แนวท่า จอดแฮ,ลาเพื่อนจำลาถ้า,อุทกร้างแรมจร
ผ่าวผ่าวดวงมนัสร้อน,รมสกนธ์,กายจากจิตกังวล,วาบว้า,โหกห่วงกระโหยหน,หวนสวาดิ,ผิวเผือดสลดหน้า,ซบเศร้ากำสรวล
ท่าเอยเคยอาบโอ้,จักไกล,สินธุเยือกเย็นใส,สะอาดลํ้า,แต่นี้จะอาบไหน,อีกเล่า,พักตร์จะอาบแต่นํ้า,เนตรเศร้าโทรมทรวง
เล็งเพื่อนริมท่าท้อง,ธารสินธุ์,ชลเนตรเรียมไหลริน,ร่วงหน้า,ทบทอดฤทัยถวิล,ถอนเทวษ วายฤๅ,รํ่าโศกเห็นจะช้า,ไป่สิ้นทรวงกระสัน
โอจวนสุริเยศเยื้อง,ยาตรบด บ่ายแฮ,แสงอ่อนรังสีสลด,เลื่อนฟ้า,ทรวงเรียมยิ่งรันทด,ทุกข์ทอด ใจฮือ,ฉวยพัตราปิดหน้า,ซับนํ้าเนตรพลาง
จำใจจำเร่งให้,นายเกวียน เร็วแฮ,เทียมกระบือชำเนียน,แนบขู้,ของบรรทุกเรือนเกวียน,ดูเพียบ พูนแฮ,แต่ละนายล้วนผู้,ฉลาดใช้ชาญกระบือ
